3627 Felicia :  rat .. lol
47485 Ana :  hello room
47493 Lina *  left the room (quit: Client Quit).
47498 Lashon *  entered the room.
47508 Krystina :  Malik: thanks buddy :)
47513 Krystina *  left the room.
47523 Ana :  i have a question
47530 Angla :  Krystina: for reliability and tried & tested, ext3
47530 Angla :  Krystina: of course, if you value your family members, reiser is maybe best avoided
47534 Sharell *  entered the room.
47541 Min *  entered the room.
47546 Rena *  left the room (quit: "Ik ga weg").
47549 Angla :  i have many
47553 Malik :  Angla: i'm using reiser3 and i'm very happy with it
47562 Rena *  entered the room.
47564 Malik :  got no ups, lots of power failures
47564 Angla :  what is the state capital of idaho ?
47566 Malik :  never lost a file
47593 Tommy *  entered the room.
47596 Ana :  when it comes to servers , does anyone know a real easy one to configure? i wanted to install xandros server 2 but couldn't find a copy, trial or full?
47608 Darwin *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
47613 Senaida *  left the room (quit: Read error: 110 (Connection timed out)).
47620 Danette *  left the room (quit: Read error: 110 (Connection timed out)).
47633 Rosette *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
47639 Arlie :  Potato, Idaho
47648 Eboni *  left the room (quit: ).
47654 Angla :  Rodney: probably not. just restore the backup copies you made
47655 Danette *  entered the room.
47655 Malik :  Ana: "real easy to configure" probably points to lack of knowledge/motivation
47662 Arlie :  Angla, Boise ?
47665 Vanetta *  left the room (quit: Remote closed the connection).
47671 Malik :  hello Arlie
47676 Arlie :  morning Malik
47692 Glinda *  gives Arlie extra banana rations
47703 Malik :  heh
47710 Arlie :  Angla, i didnt even need google ... damned if geography didnt stick
47721 Ana :  howard that is true, i have to onfigure one in tafe class, the more i configure the higher the grade, hence more=less time=higher grades
47722 Maple *  entered the room.
47735 Malik :  Ana: cheater :)
47748 Ana :  dam straight
47762 Rodney :  Angla, the problem is that I have no backup
47772 Malik :  Ana: http://www.geocities.com/troll_linux_os_2006/troll_linux_os_2006.html
47778 Angla :  Rodney: you surprise me
47786 Sabine :  :P
47789 Shirlee *  entered the room.
47792 Sabine :  always keep a backup of root
47793 Sabine :  i say
47804 Rodney :  Angla, I made it quickly without thinking...
47808 Sabine :  its just like 10-15 gb at max
47810 Sabine :  really
47811 Elia :  Hm, so now, wtf am I missing.  Georgia crossover cable is plugged in.  ifconfig output now lists eth0, eth1, then eth0:avah.
47815 Rodney :  it was a fresh install
47815 Ana :  <------- cheated on girlfriends, cheated on school/ cheated on taxes<----------is a cheater,,<-------- honest cheater, just upfront
47822 Nida *  left the room (quit: Connection timed out).
47822 Elia :  But still no response when I ping the ip address that it's supposed to be set to... Hm.
47845 Sabine :  well i mean. i never needed more than like 5 gb root
47855 Sabine :  so backing up your configs etc
47859 Sabine :  is a very small task
47865 Sabine :  you know
47865 Sabine :  :p
47866 Angla :  Rodney: tgz your $HOME from a pristine install next time
47909 Rickie *  entered the room.
47913 Elia :  Hm, anybody familiar with cclinux?
47930 Audry :  Rodney, better to keep whole /home on different partition
47942 Stanton :  Moin!
47946 Arlie :  <--- never cheated on gfs ... cheated a couple times on tests, but felt guilty ..... irc fucked him on taxes, not the other way around, isn't a cheater
47953 Arlie :  er..irs
47956 January :  News from kernel.org: 2.6.22-rc2-git5: stable snapshot <http://www.kernel.org/kdist/fragments/stable_snapshot.html>
47958 Arlie :  irc too ;)
47962 Malik :  Arlie: amen :P
47983 Arlie :  Ana, you live with yourself at the end of the day ;)
47984 Christal *  left the room (quit: ).
48001 Angla :  ooooh
48009 Rodney :  Angla, Audry I overwrited just /etc
48026 Angla :  Rodney: good plan
48030 Rodney :  ...
48034 Evalyn *  left the room (quit: Remote closed the connection).
48040 Angla :  NOT
48050 Rodney :  I am testing dpkg-reconfigure --all but all is broken
48070 Rodney :  so I guess I have to reinstall all
48104 Angla :  Rodney: click your heels together 3 times and say "there's no place like $HOME"
48104 Lina *  entered the room.
48105 Francie :  Horacio, !
48131 Ana :   Malik: lets get sereous you knob. troll linux, i really would like to find a easy full featured server distro.
48154 Rodney :  Angla, thanks for your help
48181 Ana :  Rodney you got help , i got troll linux crap.
48188 Francie :  OMFG
48190 Francie :  MY MOUSE
48193 Francie :  SHIT
48197 Malik :  Ana: "easy" and "full featured" are general and very subjective terms
48199 Angla :  Rodney: sorry dude. just make sure you remember to keep copies of important stuff in future.
48215 Malik :  Ana: define "full featured" at least
48216 Rodney :  sure
48217 Renetta *  left the room (quit: "Leaving").
48223 Angla :  we've *all* done it. some only once tho
48258 Francie :  i left my usb glow mouse at school, the one i use for laptop
48262 Clarisa *  left the room (quit: Remote closed the connection).
48270 Soledad *  entered the room.
48295 Jani *  entered the room.
48302 Soledad *  left the room (quit: Client Quit).
48332 Angla :  Ana: the people here are very helpful. friendly. and some of them will bend over backwards to accommodate you (ouch !). but lameness and rudeness don't sit together well
48346 Rosa *  left the room.
48377 Clark *  left the room.
48378 Francie :  Ana, you stole my mouse!
48402 Arlie :  what a pain in the behind !
48425 Malik :  Arlie: don't sit on your monkey tail :>
48447 Arlie :  ip address access control lists ;)
48489 Ana :  ftp, apache, mail, firewall, dns
48527 Rosette *  entered the room.
48530 Ana :  <--------did not steal Francie's mouse, my cat did
48536 Devona *  left the room (quit: Remote closed the connection).
48567 Rodney *  left the room (quit: "Leaving").
48582 Stanley *  left the room (quit: "( www.nnscript.de :: NoNameScript 4.02 :: www.XLhost.de )").
48585 Francie :  Ana, apache, firewall and ftp should be relatively easy to setup, but mail and dns are more of a challenge
48586 Nilsa *  left the room (quit: "o`o").
48603 Tora *  entered the room.
48618 Harley *  left the room (quit: Read error: 110 (Connection timed out)).
48621 Angla :  Ana: any standard distro will get you there. the popular ones are fedora, debian, ubuntu, suse. they all have good and bad points, and they all will take a steep learning curve
48623 Francie :  Ana, infact, my linux laptop's hard drive is broken as a result of me trying to setup mail on it and dns server on different machine (physical abuse)
48638 Doug *  entered the room.
48646 Ana :  Francie:  plus i need to tie them in with windows on a network which should be the easy part
48658 Vernita *  entered the room.
48694 Francie :  Ana, you just want mail server so you can send/receive mail from the server, right? just for fun?
48717 Nevada *  left the room (quit: Read error: 113 (No route to host)).
48722 Ana :  we use fedora core 6 at school but it takes around 2+hrs to get it all installed, thats why i wanted xandros server,
48725 Francie :  wwi gong to do...
48727 Francie :  oh yes
48729 Francie :  wait, what?
48730 Francie :  oh yeah
48734 Ana :  yes Francie
48735 Johnie *  left the room (quit: Connection timed out).
48744 Lilia *  entered the room.
48757 Francie :  Ana, don't bother then, I couldn't get the stupid postfix thing to work
48768 Johnie *  entered the room.
48776 Aldo *  left the room (quit: Remote closed the connection).
48810 Francie :  Ana, now dns, you should be able to copy some config from some forum post that I saw, and edit it to suit your network, the basics (just name/reverse lookup) should work fine
48827 Francie :  Ana, apache, that's easy to setup, read a guide
48840 Christine *  left the room (quit: Connection timed out).
48842 Francie :  Ana, firewall, :S, never got very far with iptables
48847 Francie :  Ana, ftp, never tried
48853 Ana :  i'm download ubuntu server right now
48856 Doug :  If i'm installing something that refers to the common folder
48857 Francie :  apart from on windows, that was with gui
48860 Angla *  left the room (quit: ).
48861 Doug :  is that just where it is now?
48871 Francie :  god knows
48887 Angla *  entered the room.
48888 Francie :  Doug, folders? no. directories, yes.
48904 Ana :  do you know any easy gui servers? i know ip's
48917 Lona *  left the room (quit: Nick collision from services.).
48933 Lona *  entered the room.
48937 Malik :  Ana: to tie them with windows you need samba i guess
48940 Francie :  Ana, only for windows. on linux, I wouldn't really trust using anything gui for server based :)
48954 Malik :  and samba has a web gui
48955 Francie :  Malik, samba is for file share between linux/windows
48957 Malik :  called swat
48964 Doug :  are they called directories in linux?
48983 Ana :  man this should be fun
48995 Mica *  entered the room.
48996 Francie :  yes Doug
48997 Malik :  Ana: how old are you?
49017 Francie :  Ana, let me guess, about my age? (im 16)
49024 Ana :  i use puppy linux all the time well 1 out of 3 pc's the other 2 are xp's, maybe i can make a puppy server
49027 Janee *  left the room (quit: Read error: 110 (Connection timed out)).
49051 Delpha *  left the room (quit: "Leaving").
49053 Ana :  i'm 36
49062 Francie :  lol, 36?
49071 Francie :  Ana, you should easily be able to follow a guide at that age
49072 Ana :  i'm in tafe/college
49087 Malik :  Ana: if you said you often use to cheat, why whould we believe you about your age?
49092 Angla :  hey. i'm 47. watch it, boys
49104 Azzie :  #@$! you have to purchase the pthreads api!?
49108 Malik :  Ana: you think like a silly 12-year kid, no offense meat :)
49111 Malik :  Angla: lol
49113 Francie :  I wonder if linux will still survive when im Angla's age
49130 Malik :  s/meat/meant/
49134 Ana :  well i got married, met my wife online, she was from australia and i was from canada
49156 Francie :  lol, im australian
49160 Angla :  i was born 10 years before the unix epoch began
49164 Ana :  so i moved to australia and got married 1 yr later
49171 Francie :  Ana, did she come over there or did you come over here?
49173 Francie :  Ana, ah :)
49183 Levi :  Angla: You sure its an Ubuntu driver problem?
49198 Lane *  entered the room.
49199 Angla :  Ana: canadian ? my wife is canadian
49206 Myrl :  a folder has 775 perm and i added myself to the same group that is the owner of the folder but still when i try to upload a file using my username i get "Permission Denied". Do i need to restart some service??
49220 Lane :  hi all whenever i logon to irc using centericq  it shows cannot connect u r banned but when i use some client i GUI i can connect
49235 Lane :  can someone guide me regarding this matter
49243 Doug :  What is pam?
49255 Lane :  wht?
49256 Azzie :  Psomthing Authentication Modules
49257 Doug :  I need to authenitcate an installation using it...
49259 Ana :  she was married at the time and told her husband she was visiting a friend for a week and stayed 6 weeks, then when she got back she gave him the boot and i moved in,
49259 Azzie :  or something like that
49277 Doug :  I installed it before and my sudo didnt work after that so im not doing it agen
49282 Albertina *  entered the room.
49284 Ana :  your lucky Angla canadian women are pretty nice
49284 Azzie :  PAM is good
49288 Angla :  Levi: there are always problems with kernels and drivers. i've told you what i know from my experience. if you want a written contract and indemnity for intellectual property suits, try windows
49288 Doug :  i have to install it for some remote desktop server thing
49293 Doug :  whats the differnece?
49298 Abbie *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
49309 Albertina :  hey has anyone here had any success installing a digium tdm400p card?
49310 Lane :  can someone guide me regarding this matter
49319 Levi :  windows is the best and worst
49332 Azzie :  Youre on crack.
49333 Malik :  Myrl: upload a file using which protocol?
49354 Sonja *  entered the room.
49354 Levi :  partly
49354 Lane :  hi all whenever i logon to irc using centericq  it shows cannot connect u r banned but when i use some client i GUI i can connect
49354 Myrl :  scp
49354 Hallie :  Lane: centericq has a --debug, you can start looking there
49360 Levi :  I shoulda stuck to Windows and the viruses
49365 Myrl :  but i cant even create a new file using vi
49365 Maple *  left the room (quit: Read error: 110 (Connection timed out)).
49366 Levi :  had a much better chance
49369 Myrl :  strange :(
49378 Doug :  so greg how do i go about instaling PAM properly?
49382 Doug :  without ruining sudo
49383 Ana :  Lane:  use gaim or pidgen
49383 Lane :  u mean it cannot connect to irc
49389 Doug :  the prog ses i just need the pam headers
49395 Malik :  it's called pidgin
49398 Jules *  left the room (quit: Client Quit).
49404 Arlinda *  left the room ("Coming Back").
49404 Arlinda *  entered the room.
49406 Santa *  left the room (quit: Remote closed the connection).
49408 Ellena *  entered the room.
49413 Francie :  whoa
49416 Francie :  nxserver is awesome
49417 Leisa *  entered the room.
49424 Maple *  entered the room.
49426 Jose *  entered the room.
49431 Albertina :  anyone installed asterisk here?
49434 Odelia *  entered the room.
49446 Francie :  Albertina, asterisk is old, use trixbox
49447 Myrtis :  Doug you might consider upgrading to a newer version of your distro that uses pam, although it IS possible to mix pam and non-pam
49448 Lane *  left the room (quit: "Leaving").
49458 Francie :  Albertina, they renamed asterisk to trixbox, and reset the version nubmers
49463 Albertina :  yeah only thing is I want to keep my OS
49472 Myrtis :  I remember having to install pam libraries and stuff once to get vmware to work
49480 Albertina :  Francie, I don't want to blow away my OS that is
49492 Angla :  Albertina: we're not ignoring you, and i shouldn't really speak for others here (but i will) no-one's even heard of the digium tdm400p here
49517 Shanelle *  entered the room.
49521 Ariel *  entered the room.
49528 Elvin *  entered the room.
49530 Angla :  is it a v16 twin-carb ?
49530 Ariel *  left the room (quit: Client Quit).
49538 Caroyln *  entered the room.
49538 Isabel *  left the room (quit: Read error: 54 (Connection reset by Brandie)).
49542 Shanelle *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
49547 Albertina :  godzirra, thanks... asterisk was built by the guys who own digium who provide linux compatible phone cards
49550 Elvin :  Say, where does one get rot13 from? Is that included with something else?
49561 Albertina :  oops Angla I mean :)
49568 Renetta *  entered the room.
49581 Azzie :  hahaha
49609 Abbie *  entered the room.
49612 Myrtis :  Elvin you might consider it a trivial excercise and write your own rot12 program :). i'm looking though, because it IS included somewhere
49614 Albertina :  Angla, Ife  card is not seen with lspci is it the kernel that doesn't recognize the card or the motherboard which isn't compatible...?
49619 Myrtis :  rot13*
49623 Jesse :  Francie: ?
49646 Myrtis :  Albertina lspci will show any detected cards even if there isn't a driver. you have some other problem
49647 Angla :  Albertina: is it a pci phone ?
49676 Laronda *  entered the room.
49694 Myrl :  in ls -alich is the first colum Owner or Group ??
49704 Meta *  entered the room.
49712 Albertina :  Angla, I guess you could could call it a modem.. except you can plug phones into it... not entirely sure... in this case it has 4 ports
49722 Angla :  Myrl: owner then group
49729 Albertina :  thanks Myrtis (bugger)
49734 Myrl :  thanks
49735 Myrtis :  Myrl neither, but owner comes first
49748 Francie :  Horacio, it's Horacio :D
49748 Elvin :  Myrtis: Yeah, I might do that too :)
49753 Arlie :  why would you use rot anything ?
49762 Arlie :  all its gonna do is slow down your code
49764 Matt *  curses his lack of ability to cut his fingernails with his left hand
49767 Myrtis :  to encrypt important data, Arlie
49769 Myrl :  doesnt 775 means even people belonging to the same group can modify/write files in that directory ??
49769 Myrtis :  duh
49777 Arlie :  oh .. right .. silly me ;)
49779 Angla :  does rot13 wrap around when you get to ascii 127 ?
49808 Jesse :  Francie: um, ok
49812 Myrtis :  i'm not sure if the default rot13 is case preserving or not
49820 Myrtis :  but it obiously must wrap
49821 Renetta *  left the room (quit: Client Quit).
49825 Malik :  Myrl: there's one more moment i think. people from the group should be able to get into that directory first (in terms of permissions)
49828 Albertina :  hey Myrtis if it's not showing up at all... any ideas of what sort of problems would make that happen?
49844 Angla :  Myrl: yes 775 is read/write/execute for all group members
49863 Myrtis :  Albertina i'd suspect a physical problem first, usually what it ends up bieng
49876 Myrl :  Malik ,Angla: i can enter that directory but cant create/modify files inside it
49894 Arlie :  Myrtis, and here i am making access control lists, and encryption settings, and key files for nothing ... when i could just add a number to every byte
49905 Elvia *  entered the room.
49911 Angla :  Myrl: are you in the right group ?
49912 Myrtis :  it's a faster algorithm too, Arlie
49915 Malik :  Myrl: are you sure you added the user to the group correctly?
49925 Myrl :  yes i checked $groups uname
49931 Arlie :  im such a retard ;)
49958 Arlie :  perhaps i'll use it on unix socket and shared memory links ;)
49962 Tora *  left the room (quit: "I didn't set up UberScript properly!").
49967 Albertina :  thanks Myrtis I think you're right... I've tried 2 machines now...
49968 Angla :  Myrl: what is your umask ?
49977 Myrl :  i even did cat /etc/group | grep uname and i can see myself in the group
49978 Shantae *  is around for the first time in some time
49984 Myrtis :  Arlie if you do it twice it's even faster
49998 Angla :  Myrl: log out then in again
50001 Francie :  hm, debian doesn't even come installed with glx gears
50002 Arlie :  and twice as encrypted too ... wow
50005 Kimberely *  left the room (quit: Connection timed out).
50006 Myrtis :  yep
50015 Myrl :  Angla: my umask is 0002
50018 Myrtis :  Francie so? it's easy to install
50024 Lynelle *  entered the room.
50025 Avelina *  left the room (quit: Remote closed the connection).
50033 Karissa *  left the room (quit: "snappy signoff goes here").
50046 Senaida *  entered the room.
50067 Lona :  okay... question: say I have linux in pure text mode... what do I want to do if I want an 800x600 framebuffer console?
50080 Francie :  Myrtis, apt-get install glxgears didn't do aynything (couldn't find package)
50081 Lona :  This is actually for an SSH link on a 233MHz PC, if that helps.
50083 Johnie *  left the room (quit: Connection timed out).
50085 Lona :  :P
50092 Myrtis :  Francie apt-get install mesa-utils
50097 Lona :  0.o
50098 Francie :  k :P
50099 Victorina *  entered the room.
50115 Francie :  Myrtis, but mesa is software based 3D stuff
50119 Ana :  http://www.davesplanet.net/store/
50120 Johnie *  entered the room.
50125 Lona :  hey Ana :D
50128 Myrtis :  Lona framebuffer is a local thing
50128 Francie :  Myrtis, I want the one that uses nvidia graphics card
50136 Myrtis :  Francie do it anyway.
50140 Francie :  k
50156 Lona :  Myrtis: I know, but I mentioned that just in case there was a graphical ssh client out there.
50163 Myrl :   E212: Can't open file for writing :(
50164 Lona :  Myrtis: so... do you have any ideas? ;p
50170 Francie :  Lona, putty
50179 Myrtis :  Lona ssh -X or vnc
50180 Lona :  Francie: does that run in textmode?
50183 Ana :  hey Lona bud what ya doing in here?
50184 Lona :  um
50188 Francie :  Lona, oh, ssh -X yeah
50192 Lona :  Ana: getting debian soon \o/
50205 Ana :  giving up on puppy?
50207 Angla :  let us give thanks
50210 Francie :  Lona, you might consider trying nomachine
50214 Myrtis :  hmm glxgears is going oddly slowly
50215 Lona :  nomachine?>
50219 Latrina *  entered the room.
50228 Francie :  Lona, can't read from an exsisting x session but is pretty cool
50233 Hiram *  entered the room.
50245 Lona :  Francie: what does it do?>
50254 Lona :  Ana: btw, as you're seeing, I have an old 233MHz box I want to set up to SSH into another PC :P
50255 Gricelda *  entered the room.
50264 Myrtis :  ah, for some reason this driver or user can't use direct rendering
50267 Myrtis :  I remember it working
50269 Francie :  Lona, well, it's much faster than VNC... using it, it's like you're in an exsisting x session
50271 Myrtis :  oh well, never use it anyway
50279 Ana :  well dave i guess you could do worse then debian :)
50283 Lona :  lol
50297 Francie :  Lona, very useful if you want to use linux on your laptop but want to be able to switch to windows real quick
50299 Lona :  Ana: what would you recommend if I was looking for something full-featured? :P
50301 Myrtis :  Lona ssh -X lets you use a local X server to manage programs, vnc and similar use a remote X server
50306 Lona :  I know.
50312 Ana :  what i don't know, maybe commodore 64 language
50317 Lona :  LOL
50328 Francie :  Ana, you mean BASIC? :P
50331 Myrtis :  debian isn't full featured now?
50333 Ana :  yes
50334 Clifford *  entered the room.
50338 Lona :  Myrtis: lol
50340 Angla :  6510 assembler
50375 Shakia *  entered the room.
50403 Lona :  Francie: This box's only current future is to ssh into another 450MHz PC that from there serves a web interface... basically, I can use my browser to add events and etc to my to do list, and the more important they are, the more a shade of red they are. Georgia deadlines/things that were supposed to be done yesterday flash bold red :D
50425 Ana :  i miss c-64 basic, man i spent hundred of hours typing pages from compute magazine, just for a simple hi-res graphic game and saving it to audio tape, since floppies weren't invented yet,lol those were the days
50434 Myrtis :  is 3000 fps for glxgears good?
50435 Lona :  lolol
50438 Lona :  Myrtis: wow
50447 Ahmad *  entered the room.
50456 Arlie :  Myrtis, depends on your window size ;)
50462 Myrtis :  hehe
50465 Myrtis :  default window size
50467 Malik :  Ana: you spent hundred of hours for that and how you're trying to cheat on a test?
50467 Angla :  Myrtis: it all depends how big that window is ....
50470 Malik :  liar
50471 Shantae *  makes a mental note to get 32768 FPS for fullscreen glxgears @ 16384x16384 working one day
50484 Lona :  XD
50487 Angla :  Arlie: great minds, and all that ...
50498 Arlie :  Myrtis, thats all i get ... about 3000
50498 Myrtis :  if I make the window small I get 14000 fps
50502 Lona :  nice.
50506 Ana :  Malik:  i was a 10yr old with a c-64 , shit i hardly had a life
50513 Lona :  lolololol
50524 Arlie :  but i didnt buy the nicest nvidia card ... i bought the cheapest dual monitor one
50531 Lona :  pfft
50539 Lona :  sounds like my predicament.
50547 Arlie :  if i stretch glxgears across 2 desktops it gets pretty slow ;)
50555 Lona :  $600: 1000MP stills camera or medium quality handycam?
50557 Francie :  Ana, here I am, a 16 year old, with a 2.6ghz comp, wishing I had a c-64 XD
50560 Lona :  Arlie: lolol
50568 Angla :  i'm getting 28000 fps with a 1-pixel square window
50569 Arlie :  450 fps
50569 Lona :  Francie: roflmao
50575 Arlie :  top half of 2 monitors
50576 Edna *  left the room (quit: Connection timed out).
50580 Francie :  rofl at Angla
50585 Albertina *  left the room (quit: "Leaving").
50594 Myrtis :  at 1600x1200 glxgears runs at 180fps or so
50596 Cathi *  entered the room.
50601 Lona :  um
50605 Lona :  WHAT!?
50607 Lessie *  entered the room.
50612 Cathi :  anyone here experienced with compiling a kernel?
50612 Jaqueline *  entered the room.
50617 Arlie :  230 fps across 2 complete monitors ... but damn if i can barely type in x-chat now
50619 Lona :  Cathi: LFS?
50621 Cathi :  i am trying to compile the 2.6.21
50622 Francie :  lmfao
50623 Angla :  Cathi: one or two. shoot
50628 Myrtis :  Cathi yes, why
50648 Johnie *  left the room (quit: Operation timed out).
50649 Francie :  one thing: nomachine does not work very well with 3D stuff lol
50655 Cathi :  well, it says for 2.6.16 to use this patch called http://www.kernel.org/pub/linux/kernel/people/ck/patches/2.6/2.6.16/2.6.16-ck12/patch-2.6.16-ck12.bz2
50656 Lona :  well
50661 Myrtis :  duh, Francie =p
50664 Cathi :  but i found one for 2.6.21.2
50668 Gina *  left the room (quit: Client Quit).
50670 Francie :  hm, 4 seconds for 1 frame... that's 0.25 fps :D
50671 Cathi :  and i dunno if i need to use the patch on mine
50676 Lona :  Francie: I doubt I'll be playing Doom 128 on this 233Mhz box xD
50679 Myrtis :  hm I suppose remote ssh could work fast with 3d
50683 Myrtis :  i've never tried that
50692 Francie :  Lona, what about doom2? :P
50692 Ana :  i bidded on a c-64 on ebay last week and got out bidded last minute, what i am going to do is make a case mod with a laptop motherboard and do a keyboard matrix and use the 1541 floppy case as a dvdrw and power supply house
50693 Lona :  ROFLMAO
50695 Chantel *  entered the room.
50697 Lona :  Francie: lolololol
50704 Myrtis :  Cathi why are you using patches?
50709 Ana :  and Dav7 here's what your looking for
50710 Ana :  http://www.murga-linux.com/puppy/viewtopic.php?t=12414&start=15
50714 Francie :  Ana, it has been done before :P except with a mini itx mobo
50716 Lona :  what's that?
50724 Angla :  Myrtis: maybe he just gave up smoking
50725 Cathi :  kevin, i am following a tutorial for this
50726 Chantel :  is there a versio of linux for internet kiosks ?
50731 Ana :  bastards Francie
50738 Cathi :  so im confused, what is the patch exactly for
50738 Lona :  Chantel: all Linuxes can be made into that.
50743 Ana :  its ssh for puppy
50746 Lona :  oh.
50746 Cathi :  cause i found one for 2.6.21 at http://www.kernel.org/pub/linux/kernel/people/ck/patches/2.6/2.6.21/2.6.21-ck2/patch-2.6.21-ck2.bz2
50750 Myrtis :  Cathi that's what i'm asking you. why do you need a patch
50754 Arlena *  left the room (quit: "Leaving").
50757 Chantel :  Lona: I prefer a ready to go version
50762 Lona :  ah I see.
50762 Myrtis :  there's tons of patches. normally you use them when you need something..
50762 Francie :  Myrtis, seriously man, VNC is better at 3D stuff than nomachine x
50770 Lona :  whoopeee!!
50774 Cathi :  Myrtis i dunno
50777 Lona :  glxgears: Error: couldn't open display '(null)'
50777 Francie :  Myrtis, but nomachine x is a totally different desgin concept to VNC i think
50779 Myrtis :  Cathi then you don't need it
50781 Myrtis :  =p
50785 Cathi :  lol are you sure?
50789 Lona :  ^ glxgears exists on my cygwin!
50789 Lona :  :D
50790 Cathi :  there must be some reason
50791 Ana :  is that what you wanted Lona?
50792 Francie :  Lona, lol, xinit glxgears -- :1
50799 Myrtis :  no, but neither are you, so don't use it
50800 Lona :  Francie: I didn't start xwin yet.
50804 Francie :  Lona, and press ctrl + alt + f8
50808 Francie :  Lona, oh lawl
50809 Myrtis :  don't just use random patches without a need
50812 Lona :  :D
50813 Cathi :  yeh but how do i know i do need it
50813 Cathi :  :(
50817 Felicia :  wtf with this flood of wintendo morons?
50822 Francie :  Lona, you in the dark side, running vt? :P
50825 Lona :  Ana: well, I was preferring to something really really small... something that would start on a floppy
50832 Lona :  Francie: no, Cygwin on Win32.
50833 Lona :  xD
50833 Cathi :  err how do i know that i dont need it
50840 Veronika *  entered the room.
50840 Francie :  why the hell am I sitting here chatting on irc when Im sposed to be doing h/w ?
50845 Angla :  Cathi: make sure you get the nicobrevin patch
50852 Cathi :  nicobrevn?
50861 Cathi :  whats that
50863 Francie :  Lona, seriously, someone needs to make a thing that can run native linux programs on windows, which doesn't cost $700
50869 Levi *  left the room (quit: "Ex-Chat").
50871 Malik :  Francie: call the ops, ask them to ban you :P
50878 Lona :  Francie: I agree.
50883 Cathi :  why are you talkin about windows
50883 Malik :  i disagree
50884 Myrtis :  Cathi http://members.optusnet.com.au/ckolivas/kernel/
50885 Lona :  Francie: vmware \o/
50888 Myrtis :  Cathi -ck patches
50889 Malik :  windows must be boycotted
50896 Myrtis :  Cathi again, only use them if you have a reason to
50901 Chantel :  Francie: linux is free :)
50902 Fanny *  entered the room.
50929 Myrtis :  why would you need to run native linux apps on windows
50935 Myrtis :  I can't see many uses for this honestly
50962 Felicia :  see, i'm caught in this f'n dilemma ; i don't know whether to have another cup of coffee, or, wanderr off for a few moments to spank my monkey .. <sigh>
50966 Ana :  well you were talking aboot debian, so i found a puppy fix, its better , we are better to keep one more on the puppy dark-side then release the hounds to the deb's<--it that makes any sense
50971 Fanny *  left the room ("Leaving").
50973 Myrtis :  Felicia O_o
50973 Francie :  Myrtis, because you hate linux but there's just this 1 program that you want and there's no cygwin port for it and when you tried to compile it it didn't work?
50978 Fanny *  entered the room.
51005 Beatriz :  Hate Linux? That's crazy talk.
51006 Angla :  Felicia: coffee and cream is nice
51011 Francie :  Felicia, what's wrong with drinking coffee?
51012 Myrtis :  Francie I suspect hating linux would either cause or be due to some level of linux comptance, which would prevent someone from compiling it properly
51013 Felicia :  heh..
51028 Myrtis :  incompetance*
51030 Myrtis :  heh
51036 Francie :  Myrtis, lol
51043 Rena *  left the room (quit: "Ik ga weg").
51051 Angla :  it's incompetence btw
51064 Cathi :  i find it pretty rare there beeing a program for linux that windows doesnt have that someone needs
51064 Dorotha *  stabs Angla under his vest with a pen
51085 Francie :  all good points
51089 Cathi :  i mean linux apps are much better usually, but windows has a shitload of things, they dont need more programs :P
51093 Myrtis :  Cathi I find that fairly often, but usually it's trivial to run linux or crosscompile the app
51095 Myrl :  Angla: i logged out and logged in again, but still i cant edit the files. any ideas what could be the problem ?
51098 Angla :  Myrtis: how's vigilante these days ? i must look him up again
51114 Myrtis :  Angla he's a alive I think :)
51115 Angla :  Myrl: no. it's very strange
51122 Francie :  seriously though, since linux is free, they should make a full blown linux API for winderz
51123 Francie :  oh but
51124 Cathi :  eitherway, windows users dont deserve the awesome linux apps
51125 Cathi :  :D
51131 Francie :  implmenting unix API on winderz would be hardx
51141 Felicia :  Myrtis: note; a large sea bass can make for a very effective weapon
51155 Francie :  wtf there I go again
51157 Francie :  go away irc
51173 Ana :  hey guys how many people in here use puppy linux?
51173 Myrl :  Angla: anyother ways to assign write permission besides doing chmod 777 :)
51177 Charles *  entered the room.
51181 Myrtis :  here's something you'll be hard pressed to get working usefully in windows: kismet :)
51192 Lona :  roflmao
51207 Angla :  that's that wifi hackeryjackery thing
51215 Ana :  777 is as bad as 666, in permissions
51216 Lona :  kismet?
51223 Lona :  Ana: no it isn't
51224 Arlie :  Myrtis, nah, theres a java face animation page ;)
51228 Chantel :  if setting up a computer to only access the internet, say at a library. and it has a keyboard and mouse is it still a "kiosk" ?
51231 Myrl :  Ana: i know :(
51235 Myrtis :  kismet is the ultimate wireless scanning/survey tool
51235 Lona :  Ana: 777 is much better than 666 :D
51240 Lona :  ROFLMAO
51251 Ana :  Lona i meant if you set it to 777 you'll go straight to hell very quick
51253 Francie :  700 wins
51254 Johnie *  entered the room.
51256 Myrtis :  Chantel the name seems appropriate, yes
51260 Lona :  Ana: why?
51263 Belia *  left the room (quit: Remote closed the connection).
51272 Myrtis :  chmod 000 Francie Lona
51280 Lona :  ?
51287 Lona :  uh oh
51290 Lona :  can't run anything!
51293 Lona :  no files O_O
51294 Francie :  lawl
51301 Chantel :  Myrtis: hmmm... the howto's I am finding online are for touchscreen... time for a custom distro :)
